runda,ruch,wynik,pozycja_x,pozycja_y,owoc_x,owoc_y,kierunek,czy_koniec,predkosc
0,0,0,15,15,10,6,RIGHT,False,2
0,0,0,16,15,10,6,RIGHT,False,2
0,1,0,17,15,10,6,RIGHT,False,2
0,2,0,18,15,10,6,RIGHT,False,2
0,3,0,19,15,10,6,RIGHT,False,2
0,4,0,20,15,10,6,RIGHT,False,2
0,5,0,20,14,10,6,UP,False,2
0,6,0,20,13,10,6,UP,False,2
0,7,0,20,12,10,6,UP,False,2
0,8,0,20,11,10,6,UP,False,2
0,9,0,20,10,10,6,UP,False,2
0,10,0,20,9,10,6,UP,False,2
0,11,0,20,8,10,6,UP,False,2
0,12,0,20,7,10,6,UP,False,2
0,13,0,20,6,10,6,UP,False,2
0,14,0,19,6,10,6,LEFT,False,2
0,15,0,18,6,10,6,LEFT,False,2
0,16,0,17,6,10,6,LEFT,False,2
0,17,0,16,6,10,6,LEFT,False,2
0,18,0,15,6,10,6,LEFT,False,2
0,19,0,14,6,10,6,LEFT,False,2
0,20,0,13,6,10,6,LEFT,False,2
0,21,0,12,6,10,6,LEFT,False,2
0,22,0,11,6,10,6,LEFT,False,2
0,23,10,10,6,3,23,LEFT,False,2.2
0,24,10,9,6,3,23,LEFT,False,2.2
0,25,10,8,6,3,23,LEFT,False,2.2
0,26,10,7,6,3,23,LEFT,False,2.2
0,27,10,6,6,3,23,LEFT,False,2.2
0,28,10,5,6,3,23,LEFT,False,2.2
0,29,10,4,6,3,23,LEFT,False,2.2
0,30,10,4,7,3,23,DOWN,False,2.2
0,31,10,4,8,3,23,DOWN,False,2.2
0,32,10,3,8,3,23,LEFT,False,2.2
0,33,10,3,9,3,23,DOWN,False,2.2
0,34,10,3,10,3,23,DOWN,False,2.2
0,35,10,3,11,3,23,DOWN,False,2.2
0,36,10,3,12,3,23,DOWN,False,2.2
0,37,10,3,13,3,23,DOWN,False,2.2
0,38,10,3,14,3,23,DOWN,False,2.2
